	mass_A
t	x	y
0.000000e0	-1.028708e-1	1.666990e-2
4.000000e-2	-1.010799e-1	1.579464e-2
8.000000e-2	-9.670530e-2	1.490342e-2
1.200000e-1	-9.015305e-2	1.315968e-2
1.600000e-1	-9.015236e-2	1.315580e-2
2.000000e-1	-8.182513e-2	1.054469e-2
2.400000e-1	-7.128501e-2	8.766453e-3
2.800000e-1	-5.943365e-2	6.159264e-3
3.200000e-1	-4.541225e-2	4.409446e-3
3.600000e-1	-3.092224e-2	2.637952e-3
4.000000e-1	-3.092160e-2	2.640372e-3
4.400000e-1	-1.556695e-2	8.775752e-4
4.800000e-1	2.101942e-4	-8.673047e-4
5.200000e-1	1.556000e-2	-3.894623e-6
5.600000e-1	3.048722e-2	9.009614e-4
6.000000e-1	4.455963e-2	1.777038e-3
6.400000e-1	4.456021e-2	1.788171e-3
6.800000e-1	5.766704e-2	2.590461e-3
7.200000e-1	6.866894e-2	4.353792e-3
7.600000e-1	7.829912e-2	6.111659e-3
8.000000e-1	8.620975e-2	7.042300e-3
8.400000e-1	9.190082e-2	7.904591e-3
8.800000e-1	9.189775e-2	7.904591e-3
9.200000e-1	9.583808e-2	7.910175e-3
9.600000e-1	9.668588e-2	8.329646e-3
1.000000e0	9.453181e-2	8.321132e-3
1.040000e0	9.012101e-2	7.506103e-3
1.080000e0	8.357924e-2	6.618990e-3
1.120000e0	8.358010e-2	6.638045e-3
1.160000e0	7.525355e-2	4.878338e-3
1.200000e0	6.514030e-2	3.099530e-3
1.240000e0	5.329004e-2	2.193835e-3
1.280000e0	3.970338e-2	1.331311e-3
1.320000e0	2.522598e-2	4.500317e-4
1.360000e0	2.522527e-2	4.544460e-4
1.400000e0	1.030694e-2	4.315915e-4
1.440000e0	-4.620206e-3	-4.349216e-4
1.480000e0	-1.994869e-2	1.314355e-3
1.520000e0	-3.446670e-2	3.091305e-3
1.560000e0	-4.850500e-2	4.867040e-3
1.600000e0	-4.851153e-2	4.881610e-3
1.640000e0	-6.119281e-2	6.609273e-3
