	mass_A
t	x	y
0.000000e0	5.910406e-2	3.728271e-3
4.000000e-2	5.433650e-2	3.027912e-3
8.000000e-2	4.902353e-2	2.867315e-3
1.200000e-1	4.242541e-2	2.052923e-3
1.600000e-1	3.539903e-2	2.014747e-3
2.000000e-1	2.664707e-2	1.120421e-3
2.400000e-1	1.787796e-2	2.233169e-4
2.800000e-1	8.642634e-3	1.153499e-3
3.200000e-1	-9.662930e-4	1.233045e-3
3.600000e-1	-1.062213e-2	1.213838e-3
4.000000e-1	-1.988245e-2	2.110300e-3
4.400000e-1	-2.902320e-2	2.957151e-3
4.800000e-1	-3.824425e-2	2.797709e-3
5.200000e-1	-4.578197e-2	4.703382e-3
5.600000e-1	-5.358405e-2	6.523642e-3
6.000000e-1	-5.979680e-2	7.420561e-3
6.400000e-1	-6.542282e-2	8.215828e-3
6.800000e-1	-6.942782e-2	9.016624e-3
7.200000e-1	-7.203850e-2	9.036810e-3
7.600000e-1	-7.346887e-2	9.320677e-3
8.000000e-1	-7.374482e-2	9.335260e-3
8.400000e-1	-7.259197e-2	9.211004e-3
8.800000e-1	-6.993593e-2	8.600346e-3
9.200000e-1	-6.559641e-2	7.631918e-3
1.080000e0	-3.914685e-2	3.947581e-3
1.120000e0	-3.073327e-2	3.245344e-3
1.160000e0	-2.201215e-2	2.326913e-3
1.200000e0	-1.281566e-2	1.416674e-3
1.240000e0	-3.197105e-3	1.348627e-3
1.280000e0	6.031400e-3	4.761278e-4
1.320000e0	1.479547e-2	4.082431e-4
1.360000e0	2.317820e-2	4.258805e-4
1.400000e0	3.107222e-2	1.416820e-3
1.440000e0	3.806165e-2	1.401681e-3
1.480000e0	4.460875e-2	2.221104e-3
1.520000e0	4.947071e-2	2.263617e-3
1.560000e0	5.385011e-2	3.055521e-3
1.840000e0	5.295833e-2	2.686795e-3
1.880000e0	4.854681e-2	2.543843e-3
1.920000e0	4.279097e-2	1.946138e-3
1.960000e0	3.669652e-2	1.816854e-3
2.000000e0	2.924448e-2	9.047407e-4
2.040000e0	2.137311e-2	9.030481e-4
2.080000e0	1.305272e-2	-1.441043e-5
2.120000e0	4.257081e-3	9.759375e-4
2.160000e0	-4.907373e-3	1.005701e-3
2.200000e0	-1.372837e-2	1.805393e-3
2.240000e0	-2.246312e-2	2.631475e-3
2.280000e0	-3.080409e-2	3.572846e-3
2.320000e0	-3.909560e-2	3.519676e-3
2.360000e0	-4.617901e-2	5.424351e-3
2.400000e0	-5.276362e-2	6.222392e-3
2.440000e0	-5.846387e-2	7.057124e-3
2.480000e0	-6.324864e-2	7.922606e-3
2.520000e0	-6.612198e-2	7.785507e-3
2.560000e0	-6.866618e-2	8.533488e-3
2.600000e0	-6.917834e-2	8.366370e-3
2.640000e0	-6.878827e-2	8.371247e-3
2.680000e0	-6.741860e-2	7.958876e-3
