	mass_A
t	x	y
0.000000e0	-1.023518e-1	1.338362e-2
4.000000e-2	-9.714494e-2	1.242580e-2
8.000000e-2	-9.007910e-2	1.071979e-2
1.200000e-1	-8.129031e-2	8.146555e-3
1.600000e-1	-7.032692e-2	6.378708e-3
2.000000e-1	-5.803273e-2	4.626217e-3
2.400000e-1	-4.486805e-2	3.291055e-3
2.800000e-1	-3.121158e-2	1.391547e-3
3.200000e-1	-1.507111e-2	1.493227e-3
3.600000e-1	-1.410971e-4	5.345354e-4
4.000000e-1	1.471566e-2	-1.745280e-4
4.400000e-1	2.883164e-2	-1.308645e-5
4.800000e-1	4.157661e-2	1.525538e-3
5.200000e-1	5.303062e-2	3.279331e-3
5.600000e-1	6.308102e-2	5.014623e-3
6.000000e-1	7.054756e-2	5.944351e-3
6.400000e-1	7.667852e-2	6.839706e-3
6.800000e-1	8.107712e-2	7.694713e-3
7.200000e-1	8.370678e-2	8.560400e-3
7.600000e-1	8.373502e-2	8.134109e-3
8.000000e-1	8.198186e-2	8.162927e-3
8.400000e-1	7.804334e-2	7.267614e-3
8.800000e-1	7.272691e-2	6.322864e-3
9.200000e-1	6.488842e-2	4.502638e-3
9.600000e-1	5.560629e-2	2.699095e-3
1.000000e0	4.462218e-2	1.088359e-3
1.040000e0	3.194969e-2	2.344261e-4
1.080000e0	1.870602e-2	2.121054e-4
1.120000e0	4.317245e-3	1.420802e-4
1.160000e0	-1.024569e-2	1.002539e-3
1.200000e0	-2.510131e-2	1.078516e-3
1.240000e0	-3.952118e-2	2.776533e-3
1.280000e0	-5.278742e-2	4.564198e-3
1.320000e0	-6.506393e-2	6.289606e-3
1.360000e0	-7.558182e-2	8.917337e-3
1.400000e0	-8.611504e-2	8.964162e-3
1.440000e0	-9.357869e-2	1.070742e-2
1.480000e0	-9.884634e-2	1.247833e-2
1.520000e0	-1.019213e-1	1.338169e-2
1.560000e0	-1.009257e-1	1.294482e-2
1.600000e0	-9.949828e-2	1.249295e-2
1.640000e0	-9.607090e-2	1.118750e-2
1.680000e0	-9.079634e-2	1.029153e-2
1.720000e0	-8.378054e-2	8.536848e-3
1.760000e0	-7.460423e-2	6.810848e-3
1.800000e0	-6.364542e-2	5.900109e-3
1.840000e0	-5.177299e-2	4.157919e-3
1.880000e0	-3.860655e-2	2.410516e-3
1.920000e0	-2.501202e-2	1.097018e-3
1.960000e0	-1.057584e-2	9.576817e-4
2.000000e0	3.556848e-3	-6.017937e-4
2.040000e0	1.755318e-2	-5.877864e-4
2.080000e0	3.057583e-2	-3.795983e-4
2.120000e0	4.256194e-2	1.104151e-3
2.160000e0	5.309659e-2	1.122239e-3
2.200000e0	6.230456e-2	4.538059e-3
2.240000e0	6.888014e-2	5.476736e-3
2.280000e0	7.370889e-2	5.518812e-3
2.320000e0	7.722825e-2	6.378593e-3
2.360000e0	7.899829e-2	7.227787e-3
2.400000e0	7.857912e-2	6.813968e-3
2.440000e0	7.643652e-2	6.804094e-3
2.480000e0	7.241930e-2	5.923082e-3
2.520000e0	6.671918e-2	4.881963e-3
2.560000e0	5.884951e-2	3.038405e-3
2.600000e0	4.958048e-2	1.516294e-3
2.640000e0	3.859528e-2	6.539481e-4
2.680000e0	2.674029e-2	-1.747953e-4
2.720000e0	1.360105e-2	-1.836044e-4
2.760000e0	-3.060914e-5	-2.036675e-4
2.800000e0	-1.404841e-2	6.354736e-4
2.840000e0	-2.771330e-2	1.603588e-3
2.880000e0	-4.119016e-2	3.292291e-3
2.920000e0	-5.353331e-2	5.000069e-3
2.960000e0	-6.450709e-2	6.707938e-3
3.000000e0	-7.415167e-2	8.460439e-3
3.040000e0	-8.204656e-2	1.022456e-2
3.080000e0	-8.863780e-2	1.198558e-2
3.120000e0	-9.391156e-2	1.291163e-2
3.160000e0	-9.609770e-2	1.379845e-2
3.200000e0	-9.610632e-2	1.420379e-2
3.240000e0	-9.474916e-2	1.331031e-2
3.280000e0	-8.999294e-2	1.228871e-2
3.320000e0	-8.463605e-2	1.045235e-2
3.360000e0	-7.723636e-2	8.041200e-3
3.400000e0	-6.838132e-2	7.013135e-3
3.440000e0	-5.749003e-2	5.444397e-3
3.480000e0	-4.604221e-2	3.707095e-3
3.520000e0	-3.333338e-2	1.974586e-3
3.560000e0	-1.975026e-2	1.084614e-3
3.600000e0	-6.164664e-3	1.910894e-4
3.640000e0	7.070689e-3	8.498416e-5
3.680000e0	2.007117e-2	1.691242e-4
3.720000e0	3.203598e-2	2.625671e-4
3.760000e0	4.305439e-2	2.422765e-4
3.800000e0	5.265325e-2	2.772789e-3
3.840000e0	6.097999e-2	4.514733e-3
3.880000e0	6.582267e-2	3.720023e-3
3.920000e0	7.062814e-2	5.496047e-3
3.960000e0	7.325407e-2	5.510112e-3
4.000000e0	7.458983e-2	6.355062e-3
4.040000e0	7.339485e-2	5.929658e-3
4.080000e0	7.070707e-2	5.064190e-3
4.120000e0	6.662979e-2	4.130011e-3
4.160000e0	6.103677e-2	3.996463e-3
4.200000e0	5.308808e-2	2.267636e-3
4.240000e0	4.386724e-2	6.378853e-4
4.280000e0	3.297326e-2	6.357783e-4
4.320000e0	2.144994e-2	6.035715e-4
4.360000e0	9.131691e-3	5.863384e-4
4.400000e0	-3.956256e-3	5.794875e-4
4.440000e0	-1.717700e-2	6.473510e-4
4.480000e0	-3.019561e-2	2.389237e-3
4.520000e0	-4.253617e-2	3.256209e-3
4.560000e0	-5.400388e-2	4.985353e-3
4.600000e0	-6.407035e-2	6.726445e-3
4.640000e0	-7.284000e-2	8.493609e-3
4.680000e0	-8.163468e-2	8.499862e-3
4.720000e0	-8.729965e-2	1.024836e-2
4.760000e0	-9.128549e-2	1.031084e-2
4.800000e0	-9.256515e-2	1.204941e-2
4.840000e0	-9.255035e-2	1.160935e-2
4.880000e0	-9.040820e-2	1.066701e-2
4.920000e0	-8.605199e-2	9.713548e-3
4.960000e0	-8.028973e-2	8.010651e-3
5.000000e0	-7.237844e-2	7.030780e-3
5.040000e0	-6.320105e-2	6.112529e-3
5.080000e0	-5.264235e-2	4.576446e-3
5.120000e0	-4.083925e-2	2.840798e-3
5.160000e0	-2.854235e-2	1.125865e-3
5.200000e0	-1.582128e-2	1.044664e-3
5.240000e0	-3.075221e-3	1.541388e-4
5.280000e0	9.600692e-3	1.778879e-4
5.320000e0	2.148817e-2	2.122573e-4
5.360000e0	3.280650e-2	3.124357e-4
5.400000e0	4.257878e-2	1.067598e-3
5.440000e0	5.135677e-2	2.711460e-3
5.480000e0	5.750144e-2	2.847184e-3
5.520000e0	6.278681e-2	3.745900e-3
5.560000e0	6.669662e-2	3.752713e-3
5.600000e0	6.891169e-2	4.619041e-3
5.640000e0	6.938125e-2	5.015671e-3
5.680000e0	6.803855e-2	4.248700e-3
5.720000e0	6.531948e-2	4.204312e-3
5.760000e0	6.061875e-2	3.246795e-3
5.800000e0	5.483841e-2	1.520041e-3
5.840000e0	4.740460e-2	1.447519e-3
5.880000e0	3.822655e-2	6.393783e-4
5.920000e0	2.766087e-2	5.950696e-4
5.960000e0	1.627115e-2	-2.147315e-4
6.000000e0	4.336862e-3	-2.586108e-4
6.040000e0	-7.963275e-3	-2.328412e-4
6.080000e0	-2.027657e-2	5.961579e-4
6.120000e0	-3.245677e-2	1.571888e-3
6.160000e0	-4.391594e-2	2.425534e-3
6.200000e0	-5.486336e-2	3.338597e-3
6.240000e0	-6.493916e-2	4.222391e-3
6.280000e0	-7.369807e-2	5.935635e-3
6.320000e0	-8.027001e-2	6.796901e-3
6.360000e0	-8.513301e-2	7.683833e-3
6.400000e0	-8.815214e-2	8.553691e-3
6.440000e0	-8.622564e-2	9.653761e-3
6.480000e0	-8.571554e-2	9.584627e-3
6.520000e0	-8.312175e-2	8.719097e-3
6.560000e0	-7.909292e-2	7.808492e-3
6.600000e0	-7.303998e-2	6.989531e-3
6.640000e0	-6.519857e-2	6.124191e-3
6.680000e0	-5.642553e-2	4.395133e-3
6.720000e0	-4.630434e-2	3.481876e-3
6.760000e0	-3.532527e-2	1.762314e-3
6.800000e0	-2.348892e-2	8.821302e-4
6.840000e0	-1.161994e-2	9.550402e-6
6.880000e0	6.671237e-4	-2.492344e-5
6.920000e0	1.249754e-2	-6.770828e-5
6.960000e0	2.346293e-2	-8.856467e-5
7.000000e0	3.391852e-2	-4.750944e-5
7.040000e0	4.312435e-2	3.812803e-5
7.080000e0	5.105356e-2	8.659031e-4
7.120000e0	5.770562e-2	3.322244e-3
7.160000e0	6.381837e-2	3.470812e-3
7.200000e0	6.779480e-2	3.519105e-3
7.240000e0	6.735852e-2	3.516217e-3
7.280000e0	6.779237e-2	3.942614e-3
7.320000e0	6.558998e-2	3.909164e-3
7.360000e0	6.294514e-2	3.078373e-3
7.400000e0	5.734143e-2	2.184399e-3
7.440000e0	5.106590e-2	1.295201e-3
7.480000e0	4.281321e-2	4.295722e-4
7.520000e0	3.399842e-2	4.207500e-4
7.560000e0	2.390946e-2	3.617444e-4
7.600000e0	1.296507e-2	-4.456226e-4
7.640000e0	1.557922e-3	-4.322604e-4
7.680000e0	-9.892426e-3	4.153150e-4
7.720000e0	-2.175622e-2	4.656584e-4
7.760000e0	-3.315060e-2	2.138779e-3
7.800000e0	-4.378484e-2	3.096909e-3
7.840000e0	-5.337389e-2	4.676511e-3
7.880000e0	-6.164441e-2	6.421505e-3
7.920000e0	-6.865953e-2	7.414302e-3
7.960000e0	-7.391928e-2	8.309066e-3
8.000000e0	-7.743645e-2	8.359700e-3
8.040000e0	-7.931291e-2	9.141848e-3
8.080000e0	-8.097444e-2	1.048312e-2
8.120000e0	-7.922964e-2	8.799102e-3
8.160000e0	-7.699659e-2	7.944381e-3
8.200000e0	-7.305690e-2	7.107728e-3
8.240000e0	-6.760337e-2	6.134478e-3
8.280000e0	-6.035903e-2	5.249584e-3
8.320000e0	-5.159031e-2	3.556308e-3
8.360000e0	-4.190981e-2	2.644586e-3
8.400000e0	-3.136587e-2	1.751295e-3
8.440000e0	-1.997442e-2	8.848752e-4
8.480000e0	-8.559769e-3	1.395529e-5
8.520000e0	2.834505e-3	-7.910964e-4
8.560000e0	1.383908e-2	-1.035968e-4
8.600000e0	2.397478e-2	-9.702279e-5
8.640000e0	3.364812e-2	-3.505581e-5
8.680000e0	4.205835e-2	-5.352763e-5
8.720000e0	4.934728e-2	1.569467e-3
8.760000e0	5.595219e-2	1.760725e-3
8.800000e0	6.079893e-2	2.648548e-3
8.840000e0	6.422004e-2	3.469539e-3
8.880000e0	6.426286e-2	3.924267e-3
8.920000e0	6.473287e-2	3.908512e-3
8.960000e0	6.232820e-2	3.054998e-3
9.000000e0	5.804244e-2	2.229522e-3
9.040000e0	5.244299e-2	1.330485e-3
9.080000e0	4.590423e-2	4.456280e-4
9.120000e0	3.836927e-2	-4.173548e-4
9.160000e0	2.921526e-2	-4.251939e-4
9.200000e0	1.951567e-2	-4.221493e-4
9.240000e0	9.033292e-3	-4.632983e-4
9.280000e0	-1.977919e-3	-4.031520e-4
9.320000e0	-1.294182e-2	4.298058e-4
9.360000e0	-2.395234e-2	1.311811e-3
9.400000e0	-3.448892e-2	2.154859e-3
9.440000e0	-4.444375e-2	3.070330e-3
9.480000e0	-5.332672e-2	3.967530e-3
9.520000e0	-6.122425e-2	4.044532e-3
9.560000e0	-6.648492e-2	5.758561e-3
9.600000e0	-7.128920e-2	6.636700e-3
9.640000e0	-7.408599e-2	7.509521e-3
9.680000e0	-7.571132e-2	7.511050e-3
9.720000e0	-7.575129e-2	7.915771e-3
9.760000e0	-7.463340e-2	7.934726e-3
9.800000e0	-7.212902e-2	7.021885e-3
9.840000e0	-6.784743e-2	6.198180e-3
9.880000e0	-6.208518e-2	5.360735e-3
9.920000e0	-5.464579e-2	4.381788e-3
9.960000e0	-4.589260e-2	2.674064e-3
1.000000e1	-3.621724e-2	1.764794e-3
1.004000e1	-2.610767e-2	8.883808e-4
1.008000e1	-1.557233e-2	2.882189e-5
1.012000e1	-4.615137e-3	-2.281647e-5
1.016000e1	5.956187e-3	-9.949832e-5
1.020000e1	1.609229e-2	-1.928939e-4
1.024000e1	2.565307e-2	-1.435467e-4
1.028000e1	3.434468e-2	-5.670976e-5
1.032000e1	4.193277e-2	3.606817e-5
1.036000e1	4.849249e-2	1.649365e-3
1.040000e1	5.421246e-2	1.773996e-3
1.044000e1	5.850689e-2	2.606515e-3
1.048000e1	6.077813e-2	2.655369e-3
1.052000e1	5.902100e-2	2.632672e-3
1.056000e1	6.029772e-2	3.021964e-3
1.060000e1	5.717922e-2	2.221847e-3
1.064000e1	5.278727e-2	2.135337e-3
1.068000e1	4.714383e-2	4.569305e-4
1.072000e1	4.057752e-2	-4.019591e-4
1.076000e1	3.309530e-2	-4.367257e-4
1.080000e1	2.430641e-2	-4.378446e-4
1.084000e1	1.471185e-2	-4.747376e-4
1.088000e1	4.618068e-3	-4.556568e-4
1.092000e1	-5.924915e-3	-4.134294e-4
1.096000e1	-1.641405e-2	4.470734e-4
1.100000e1	-2.654853e-2	1.324939e-3
1.104000e1	-3.623509e-2	1.438056e-3
1.108000e1	-4.532061e-2	2.577943e-3
1.112000e1	-5.333300e-2	3.207311e-3
1.116000e1	-6.034323e-2	4.025860e-3
1.120000e1	-6.693547e-2	5.697660e-3
1.124000e1	-7.170324e-2	6.539051e-3
1.128000e1	-7.479892e-2	6.532560e-3
1.132000e1	-7.595955e-2	6.590901e-3
1.136000e1	-7.544160e-2	6.884092e-3
1.140000e1	-7.300333e-2	6.211173e-3
1.144000e1	-6.900432e-2	6.081280e-3
1.148000e1	-6.340898e-2	5.998798e-3
1.152000e1	-5.717420e-2	5.186459e-3
1.156000e1	-4.972257e-2	3.524427e-3
1.160000e1	-4.103944e-2	2.615562e-3
1.164000e1	-3.181144e-2	1.746993e-3
1.168000e1	-2.214733e-2	8.828724e-4
1.172000e1	-1.205346e-2	1.765849e-5
1.176000e1	-1.905550e-3	-7.432600e-5
1.180000e1	8.116784e-3	-6.623839e-4
1.184000e1	1.745965e-2	-1.397359e-4
1.188000e1	2.619154e-2	7.533246e-6
1.192000e1	3.420231e-2	5.024516e-5
1.196000e1	4.097461e-2	5.084583e-5
1.200000e1	4.635517e-2	7.746768e-4
1.204000e1	5.019872e-2	8.720264e-4
1.208000e1	5.257687e-2	9.050892e-4
1.212000e1	5.417817e-2	8.950759e-4
1.216000e1	5.419628e-2	1.275670e-3
1.220000e1	5.325780e-2	6.000842e-4
1.224000e1	5.069034e-2	5.574435e-4
1.228000e1	4.709004e-2	4.974469e-4
1.232000e1	4.162418e-2	-3.293976e-4
1.236000e1	3.524744e-2	-4.002202e-4
1.240000e1	2.738312e-2	-4.055423e-4
1.244000e1	1.872618e-2	-4.041929e-4
1.248000e1	9.788570e-3	-4.422441e-4
